keyword_used,name,address,phone,website,rating,reviews,province,city,district,village
playstation,Ventura Playstation PS2 / PS3 & PS4,"Jl. Cemara Raya, Padangsari, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263, Indonesia",+62 812-3580-3470,,4.9,769,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,CUBIC GAME - PS5 - PS4 Pro - Netflix,"Jl. Badak 8 No.23, Pandean Lamper, Kec. Gayamsari, Kota Semarang, Jawa Tengah 50249, Indonesia",+62 857-2575-1815,https://www.instagram.com/cubicgame.id?igsh=MTNwazg1c3B2dWV3eA==,5,493,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,Press Start ID,"Jl. Mulawarman Selatan Raya No.31, Kramas, Tembalang, Semarang City, Central Java 50278, Indonesia",+62 859-2482-1475,https://instagram.com/presstartid?igshid=YmMyMTA2M2Y=,4.8,433,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,CT GAME STORE,"Blk. I Jl. Tlogotimun No.3, Tlogosari Kulon, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50196, Indonesia",+62 899-5757-459,,4.5,404,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,Big Games - Rental PS Semarang - PS4 PS4 Pro - PS5 PS5 Pro,"Jl. Roda Mas southpark 1 No.9, Panggung Lor, Semarang Utara, Semarang City, Central Java 50177, Indonesia",+62 852-9238-8338,https://biggames.id/,5,327,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,SEVEN PLAYSTATION,"Jl. Tusam Tim. I No.6, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268, Indonesia",+62 899-6744-567,,4.4,285,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,DOKI PLAY - Rental PS Semarang,"Jl. Pekunden Dalam No.11 B, Pekunden, Semarang Tengah, Semarang City, Central Java 50241, Indonesia",+62 878-7828-6457,https://linktr.ee/dokiplayers,4.9,205,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,Glory Ps,"Jl. Lamper Tengah No.616, Lamper Tengah, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50248, Indonesia",+62 895-4222-22080,,4.4,187,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,Satelite Playstation Ketileng - Rental Ps3 Ps4 Ps5 | Sewa ps,"Jl. Ketileng Raya No.42c, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",+62 856-4317-9971,http://sateliteplaystation.online/,4.2,187,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,FORTUNE PLAYSTATION PS3 | PS4 | PS5 & COFFEE SHOP,"Jl. Fatmawati No.178, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",+62 857-5981-0878,,4.8,165,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,CYBER PLAYSTATION ️ RENTAL PS3 I PS4 I PS5,"Jl. Menoreh Raya No.61, RT.03/RW.04, Sampangan, Gajahmungkur, Semarang City, Central Java 50232, Indonesia",+62 878-2472-1118,,4.4,154,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,ZHENO PS 3 & PS 4,"Jl. Kedungmundu No.230, RT.04/RW.05, Kedunggmundu, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273, Indonesia",+62 812-3454-1626,,4.4,154,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,PlaynPlay,"Jl. Kedungmundu No.47a, Tandang, Tembalang, Semarang City, Central Java 50274, Indonesia",+62 851-5999-7607,https://playnplay.id/,5,148,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,Satelite Playstation Jatingaleh - Rental PS3 PS4 PS5 | Sewa ps,"Jl. Jatingaleh II No.296B, Ngesrep, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50254, Indonesia",+62 856-4317-9971,,4.3,137,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,Nexplay Playstation Premium,"Jl. Ketileng Raya No.10a, Sendangmulyo, Tembalang, Semarang City, Central Java 50273, Indonesia",+62 813-9003-8118,,4.9,132,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,Sonicps(GAME PS4 JUAL PS4-PS5-SERVIS PS5-PS4-PS3-NSwitch-XBOX X|S),"ruko niaga, Jl. Klipang Raya depan sdn 4 No.15, sendangmulyo, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",+62 815-6650-751,https://www.instagram.com/sonicps?igsh=MTFsd3BvOXdkd3ptdA==,4.6,124,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,HOP gaming sewa rental PS playstation PS3 & PS4,"Jl. Srinindito Tim. IX, RT.04 RW03/RW.No.33A, Ngemplak Simongan, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148, Indonesia",+62 896-2874-5000,https://lynk.id/hopgaming,4.9,116,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,Rich Game,"Ruko Pertigaan Taman, Jl. Durian Raya Jl. Tirto Agung, Pedalangan, Banyumanik, Semarang City, Central Java 50268, Indonesia",+62 822-3335-4991,https://linktr.ee/richgamesmg,5,99,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,DsterGame Toko Playstation Rental Sewa VIP AC PS 5 I PS 4 I PS 3 I Nintendo Switch I terdekat 24 jam & Warmindo Cafe,"Jl. Yos Sudarso No.43, Blanten, Genuk, Kec. Ungaran Bar., Kabupaten Semarang, Jawa Tengah 50511, Indonesia",+62 851-7241-2206,https://wa.me/6285172412206%20%7C%20https://wa.me/6285171518556,4.9,96,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
playstation,Analog Playstation Tembalang,"Jl. Gondang Raya No.52, Bulusan, Tembalang, Semarang City, Central Java 50277, Indonesia",+62 851-8311-5361,https://lynk.id/analogplay?fbclid=PAZXh0bgNhZW0CMTEAAaYCw5d2Zd2zGPEJPJt67jH9hGVv6JqD1P6RTrtRZlPtwq5doIRTTo7a8Fo_aem_1Xv6s7Ess7LVKvkLf-9HgA,4.1,78,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,
